model,listing_price,trim,mileage,transmission,color,car_body,car_engine,car_make,car_age
Q7,57500,3L Black Edition TDI V6,12997,Automatic,Grey,5 door SUV,3L,Audi,1.0
Macan,57000,2L T,4706,Automatic,Silver,5 door SUV,2L,Porsche,2.0
Macan,56350,3L S T V6,4605,Automatic,Grey,5 door SUV,3L,Porsche,2.0
Model 3,55900,Long Range,1614,Automatic,White,4 door Saloon,Electric,Tesla,1.0
Range Rover Sport,55550,3L Autobiography Dynamic SD V6,26375,Automatic,Grey,5 door SUV,3L,Land Rover,4.0
Model 3,55250,Long Range,4815,Automatic,Blue,4 door Saloon,Electric,Tesla,1.0
Range Rover,55050,3L Vogue SE TD V6,34352,Automatic,Silver,5 door SUV,3L,Land Rover,4.0
Model 3,55050,Performance,9148,Automatic,White,4 door Saloon,Electric,Tesla,1.0
Range Rover Sport,54200,3L Autobiography Dynamic SD V6,20793,Automatic,Black,5 door SUV,3L,Land Rover,5.0
Model 3,53550,Long Range,6963,Automatic,Grey,4 door Saloon,Electric,Tesla,1.0
Model 3,52550,Long Range,5812,Automatic,White,4 door Saloon,Electric,Tesla,1.0
Range Rover,52400,4.4L Autobiography SD V8,61954,Automatic,Grey,5 door SUV,4.4L,Land Rover,4.0
Model 3,52300,Long Range,2889,Automatic,White,4 door Saloon,Electric,Tesla,1.0
Range Rover Sport,51800,5L Autobiography Dynamic P525 V8,60414,Automatic,Black,5 door SUV,5L,Land Rover,5.0
Model 3,51800,Long Range,5632,Automatic,White,4 door Saloon,Electric,Tesla,1.0
Range Rover Sport,51500,3L Autobiography Dynamic SD V6,38353,Automatic,Grey,5 door SUV,3L,Land Rover,4.0
Model 3,51450,Long Range,7426,Automatic,White,4 door Saloon,Electric,Tesla,1.0
Sorento,50500,1.6L 4 T-GDi,1054,Automatic,Grey,5 door SUV,1.6L,Kia,1.0
Model 3,50450,Performance,24026,Automatic,Grey,4 door Saloon,Electric,Tesla,2.0
Range Rover Sport,50100,3L HSE Dynamic SD V6,31336,Automatic,Silver,5 door SUV,3L,Land Rover,4.0
Model 3,50100,Long Range,8507,Automatic,White,4 door Saloon,Electric,Tesla,1.0
Range Rover,49700,3L Vogue TD V6,32498,Automatic,Black,5 door SUV,3L,Land Rover,5.0
Model 3,49200,Standard Range Plus,3993,Automatic,White,4 door Saloon,Electric,Tesla,1.0
Range Rover,48600,3L Vogue TD V6,26714,Automatic,Grey,5 door SUV,3L,Land Rover,4.0
