,model,listing_price,trim,reg_date,mileage,transmission,color,car_body,car_engine,car_page_url
0,Audi Q7,"£57,500",3L Black Edition TDI V6,Jun 2021,"12,997 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/707a9391-8a7d-5dfc-8465-57942265f31e/
1,Porsche Macan,"£57,000",2L T,Dec 2020,"4,706 miles",Automatic,Silver,5 door SUV,2L,https://www.cazoo.co.uk/car-details/67f69df2-3cdc-5d65-8f64-a7ec2e22852b/
2,Porsche Macan,"£56,350",3L S T V6,Jul 2020,"4,605 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/e5f54502-eac1-567b-9468-782d23e18277/
3,Tesla Model 3,"£55,900",Long Range,Dec 2021,"1,614 miles",Automatic,White,4 door Saloon,,https://www.cazoo.co.uk/car-details/ad0e1804-2d48-5b14-a0c2-0aa44fac4e55/
4,Land Rover Range Rover Sport,"£55,550",3L Autobiography Dynamic SD V6,Mar 2018,"26,375 miles",Automatic,Grey,5 door SUV,3L,https://www.cazoo.co.uk/car-details/4a8dc908-5be5-5420-9fb8-e10f631e0b91/
5,Tesla Model 3,"£55,250",Long Range,Sept 2021,"4,815 miles",Automatic,Blue,4 door Saloon,,https://www.cazoo.co.uk/car-details/491ee7ce-4857-58f8-bb86-54525bfe12da/
6,Land Rover Range Rover,"£55,050",3L Vogue SE TD V6,Mar 2018,"34,352 miles",Automatic,Silver,5 door SUV,3L,https://www.cazoo.co.uk/car-details/81ea94b7-e77d-56d1-83ab-f720248d8ba5/
7,Tesla Model 3,"£55,050",Performance,Sept 2021,"9,148 miles",Automatic,White,4 door Saloon,,https://www.cazoo.co.uk/car-details/ba44e9f3-df1c-5dd6-aa29-3870ccdffd64/
8,Tesla Model X,"£54,550",75D,Oct 2017,"36,563 miles",Automatic,Grey,5 door SUV,,https://www.cazoo.co.uk/car-details/9fb6e042-77bc-5ee5-b5e2-686c2e445c29/
9,Mercedes-Benz SL Class,"£54,450",5.5L AMG SL63 V8,Mar 2017,"13,368 miles",Automatic,Black,2 door Convertible,5.5L,https://www.cazoo.co.uk/car-details/a3037e27-d34e-5e12-9eed-eb188e24a93f/
10,Land Rover Range Rover Sport,"£54,200",3L Autobiography Dynamic SD V6,Dec 2017,"20,793 miles",Automatic,Black,5 door SUV,3L,https://www.cazoo.co.uk/car-details/d04d481e-2874-5267-8886-918390581a4f/
11,Porsche Cayenne,"£53,800",3L T V6,Mar 2019,"15,755 miles",Automatic,White,5 door SUV,3L,https://www.cazoo.co.uk/car-details/9ca6d714-033d-5329-a319-6b36ae792957/
12,Tesla Model 3,"£53,550",Long Range,Mar 2021,"6,963 miles",Automatic,Grey,4 door Saloon,,https://www.cazoo.co.uk/car-details/e45e65b9-b403-5c53-b4b3-2ee4af97283a/
13,Tesla Model 3,"£52,550",Long Range,Sept 2021,"5,812 miles",Automatic,White,4 door Saloon,,https://www.cazoo.co.uk/car-details/0d61c62f-a92e-529e-85e5-f2e0c9353c00/
14,Land Rover Range Rover,"£52,400",4.4L Autobiography SD V8,Feb 2018,"61,954 miles",Automatic,Grey,5 door SUV,4.4L,https://www.cazoo.co.uk/car-details/dcbb0d98-808d-5f25-83fb-d21eea862b13/
